Provider Name,DBT-A Certified,Adherent Team Only,Full Address (DHS),City,State,ZIP,Phone (DHS),Website (DHS),Logo File,Logo URL (CDN),Contact Page URL,Staff/Team Page URL,Email,Phone (Website),Fax,Services Offered,DBT Services Description,Ages Served,Accepts Insurance,Telehealth Available,In-Person Available,Staff Names,Staff Credentials,Specialties,Sliding Scale,Accepting New Clients,Facebook URL,Instagram URL,Notes,Data Source
Independent Management Services,Yes,No,"226 W Clark Street, Albert Lea, MN, 56007",Albert Lea,MN,56007,507-437-6389,https://www.imsofmn.com/,independent_management_services.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/UGGCNiKgvPypRDGt.png,https://www.imsofmn.com/contact/,https://www.imsofmn.com/providers/,info@imsofmn.com,507-437-6389,507-437-0977,"Addiction Services, Adult Mental Health, Children's Mental Health, Clinical Therapy, Disability Services, Guardianship & Conservatorship, Medication Services, Social Security Advocacy",Unknown,Adults and Adolescents,Unknown,Unknown,Yes,"Ryan Thorson, Scott Westbrock, Heather Peterson, Lisa Tuttle, Elizabeth Carlton","PhD, LP, MSW, LICSW, MBA, CFE, MA, LPCC",Unknown,Unknown,Unknown,https://www.facebook.com/imsofmn/,https://www.instagram.com/imsofmn/,"The provider has four locations in Albert Lea and Austin, MN.",MN DHS + Website Enrichment
Lakeland Mental Health Center,No,No,"702 34th Avenue East, Alexandria, MN, 56308",Alexandria,MN,56308,320-762-2400,http://www.lmhc.org/,lakeland_mental_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/jjiSXeUBioSRtSIB.png,https://lmhc.org/contact-us/,https://lmhc.org/about-us/,Not found,(800) 223-4512,Not found,"Individual therapy, Family therapy, Group therapy, Psychological evaluations, Psychiatric assessments, Psychiatric medication management, Case management, Rehabilitative mental health services, Day treatment, Skills training",Unknown,All ages,Unknown,Unknown,Yes,Not found,"Psychiatrists, Nurse Practitioners, Psychologists, Clinical Social Workers, Licensed Marriage and Family Counselors, Licensed Professional Clinical Counselors, Registered Nurses, Licensed Nurses, Mental Health Practitioners","Brainspotting, EMDR, ART Therapy",Yes,Unknown,Not found,Not found,None,MN DHS + Website Enrichment
Life Development Resources PA,Yes,No,"7580 160th Street West, Lakeville, MN, 55044",Lakeville,MN,55044,952-898-1133,http://lifedrs.com/,life_development_resources_pa.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/TlXGVutgAjWtTEnP.png,https://lifedrs.com/,https://lifedrs.com/providers/,Not found,(952) 898-1133,(952) 435-6797,"Individual Counseling, Children & Adolescent Counseling, Couple and Family Counseling, Play Therapy, Children’s Therapeutic Services and Supports – (CTSS), Co-Occurring Treatment, Dialectical Behavioral Therapy (DBT), Medication Management, Trauma / EMDR, Professional Consultation",Offers Dialectical Behavioral Therapy (DBT) as part of their services.,"Children, Adolescents, Adults, Couples, Families","Yes - most major insurance plans, including medical assistance programs",Yes,Yes,"Anna Anderson, Connie Backstrom, Oluwatosin Badejo, Haylee Baier, Erin Bird","BA, Clinical Trainee, MA, LMFT, MS, Clinical Trainee, MSW, LICSW","Trauma, Anxiety, Depression, Grief, Anger, Addiction, Relationship struggles, BPD, ADHD, Family issues, DBT, EMDR",Unknown,Unknown,Not found,Not found,Unknown,MN DHS + Website Enrichment
Life Development Resources PA,Yes,No,"1619 Dayton Avenue, St. Paul, MN, 55104",St. Paul,MN,55104,952-898-1133,http://lifedrs.com/,life_development_resources_pa.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/TlXGVutgAjWtTEnP.png,https://lifedrs.com/,https://lifedrs.com/providers/,Not found,(952) 898-1133,(952) 435-6797,"Individual Counseling, Children & Adolescent Counseling, Couple and Family Counseling, Play Therapy, Children’s Therapeutic Services and Supports – (CTSS), Co-Occurring Treatment, Dialectical Behavioral Therapy (DBT), Medication Management, Trauma / EMDR, Professional Consultation",Offers Dialectical Behavioral Therapy (DBT) as part of their services.,"Children, Adolescents, Adults, Couples, Families","Yes - most major insurance plans, including medical assistance programs",Yes,Yes,"Anna Anderson, Connie Backstrom, Oluwatosin Badejo, Haylee Baier, Erin Bird","BA, Clinical Trainee, MA, LMFT, MS, Clinical Trainee, MSW, LICSW","Trauma, Anxiety, Depression, Grief, Anger, Addiction, Relationship struggles, BPD, ADHD, Family issues, DBT, EMDR",Unknown,Unknown,Not found,Not found,Unknown,MN DHS + Website Enrichment
MAP Behavioral Health Center,No,No,"324 West Superior St, Suite 260, Duluth, MN, 55802",Duluth,MN,55802,218 606-1797,https://www.mapbhc.com/,map_behavioral_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/WAgXAJjZBRnyrEyG.png,https://www.mapbhc.com/contact,https://www.mapbhc.com/team,Not found,218-606-1797,(651) 925-0039,"Individual Therapy, Couples Therapy, Family Therapy, EMDR, Substance Use Disorder Counseling, ART, Telemental Health, Online Medication Management, Emotional Support Animal (ESA) Evaluations, Psychotherapy for Executive Function Dysregulation",Paige Benson utilizes approaches/skills of Dialectical Behavioral Therapy.,Youth and Adults,"Yes - BCBS, U Care, Minnesota MHCP/MA, AETNA, Americas PPO, Health Partners, United HealthCare (OPTUM), Medica Commercial Plans, Tricare. Out of Network for Wisconsin MA/Badger Care, Medicare, Itasca Care (IM Care), Forward Health.",Yes,Yes,"Angel Koski, Paige Benson, Dr. Sara Bovee, Dr. Kari Rengo, Ashlan Mahan","MSED, LPCC, CRC, Psy.D, LP, APRN, PMHNP-BC, MA, LADC","Trauma, Anxiety, PTSD, Depression, Panic Disorders, Substance Use, Grief, Phobias, Addiction, Executive Function Dysregulation, ADHD",Unknown,Unknown,Not found,Not found,"Out of Network for Wisconsin MA/Badger Care, Medicare, Itasca Care (IM Care), Forward Health.",MN DHS + Website Enrichment
The Meadows Counseling Center,Yes,No,"3737 40th Avenue Northwest, Rochester, MN, 55901",Rochester,MN,55901,507-288-6978,http://www.highlandmeadowscc.com/,the_meadows_counseling_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/ryxlvQYCXrxdgjgN.png,,,,,,,,,,,,,,,,,,,,MN DHS Only
Mental Health Systems,No,Yes,"6600 France Avenue, Suite 230, Edina, MN, 55435",Edina,MN,55435,952-835-2002,https://www.mhs-dbt.com/,mental_health_systems.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/fuCqUkTFTVtEksEN.png,https://www.mhs-dbt.com/about-us/contact-us/,https://www.mhs-dbt.com/about-us/our-story/,Not found,952-835-2002,651-383-4935,"Individual DBT, Group DBT, Skills Training, DBT for Chronic Pain, DBT for LGBTQIA+ Adults, DBT for College Students, Waypoint DBT for addiction recovery and mental health, Adolescent DBT, Early Adolescent DBT","Dialectical Behavior Therapy combines validation with skills that teach emotion regulation, tolerating distress, improving relationships, and being present in the moment.","Adults, Adolescents","Yes - Aetna, Blue Cross/Blue Shield, Cigna, HealthPartners, Medica, Metropolitan Health Plan, Preferred One, and UCare",Yes,Yes,"Dr. Mark Carlson, Dr. Lane Pederson",Not found,"Chronic Pain, LGBTQIA+, College Students, Addiction, Developmental Disorders, Trauma, Perinatal Health, Psychotic Disorders",Unknown,Unknown,Not found,Not found,MHS offers a variety of specialized DBT programs for different populations. They have multiple locations and also offer virtual services.,MN DHS + Website Enrichment
Mental Health Systems,No,Yes,"6063 Hudson Road, Suite 200, Woodbury, MN, 55125",Woodbury,MN,55125,763-325-1686,https://www.mhs-dbt.com/,mental_health_systems.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/fuCqUkTFTVtEksEN.png,https://www.mhs-dbt.com/about-us/contact-us/,https://www.mhs-dbt.com/about-us/our-story/,Not found,952-835-2002,651-383-4935,"Individual DBT, Group DBT, Skills Training, DBT for Chronic Pain, DBT for LGBTQIA+ Adults, DBT for College Students, Waypoint DBT for addiction recovery and mental health, Adolescent DBT, Early Adolescent DBT","Dialectical Behavior Therapy combines validation with skills that teach emotion regulation, tolerating distress, improving relationships, and being present in the moment.","Adults, Adolescents","Yes - Aetna, Blue Cross/Blue Shield, Cigna, HealthPartners, Medica, Metropolitan Health Plan, Preferred One, and UCare",Yes,Yes,"Dr. Mark Carlson, Dr. Lane Pederson",Not found,"Chronic Pain, LGBTQIA+, College Students, Addiction, Developmental Disorders, Trauma, Perinatal Health, Psychotic Disorders",Unknown,Unknown,Not found,Not found,MHS offers a variety of specialized DBT programs for different populations. They have multiple locations and also offer virtual services.,MN DHS + Website Enrichment
Minnesota Center for Psychology LLC,Yes,No,"2324 University Avenue West, Suite 120, St Paul, MN, 55114",St Paul,MN,55114,651-644-4100,https://www.minnesotacenterforpsychology.com/dialectical-behavior-therapy,minnesota_center_for_psychology_llc.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/uSoPJjGNDrNafFEZ.png,https://www.minnesotacenterforpsychology.com/contact,https://www.minnesotacenterforpsychology.com/providers,info@minncp.com,651-644-4100,Not found,"Individual DBT, Group DBT, Skills Training, DBT Adult Skills Groups, DBT Young Adult Skills Groups, DBT Adolescent Program with Multi-Family Skills Group, DBT for Substance Use Disorders, DBT for Eating Disorders, DBT for LQBTQ+, DBT Skills Group for Professionals and Health Professionals, Radically Open DBT Group","Dialectical Behavior Therapy (DBT) is a principle-driven, evidence-based comprehensive cognitive-behavioral treatment. Although the strongest evidence exists for DBT as a treatment for people with Bor",All ages,"Yes - Most types of insurance accepted, private pay",Yes,Yes,"Caitlin Block, Samantha Clos, Gerald Crimmins, Sydney Dobrzynski, Lisa Dubois-Schmitz","M.S.W., L.I.C.S.W., M.A., Psy.D., L.P., B.A.","Borderline Personality Disorder, Substance Use Disorder, Depression, Bipolar Disorder, Cluster B Personality Disorders, Post-Traumatic Stress Disorder (PTSD), Eating Disorders, Transdiagnostic Emotion Dysregulation, Attention-Deficit/Hyperactivity Disorder (ADHD)",Unknown,Yes,https://www.facebook.com/MinnesotaCenterforPsychology/,https://www.instagram.com/minnesotacenterforpsychology/,"Please Note: To respect individuals with scent and/or chemical sensitivities, please refrain from wearing perfume, cologne or other fragrances while in the clinic.",MN DHS + Website Enrichment
Natalis Counseling and Psychology Solutions,No,No,"1600 University Avenue West, St Paul, MN, 55104",St Paul,MN,55104,651-379-5157,https://www.natalispsychology.com/,,,https://natalispsychology.com/contact-natalis-psychology/,https://natalispsychology.com/therapists-psychologists-counseling/,info@natalispsychology.com,651-379-5157,651-379-5159,"Individual Therapy, Couples & Family Therapy, Child & Adolescent Therapy, Telehealth Counseling, Psychological Assessments, DBT, Play Therapy","Dialectical Behavior Therapy (DBT) is a type of cognitive-behavioral therapy that is powerful for emotional regulation, distress tolerance, and mindfulness.","Adults, Adolescents, Children","Yes - Blue Cross Blue Shield, UnitedHealthcare, Medica",Yes,Yes,"Becky Gatz, Lisa Elsen, Samantha Soyring, Sara Moss, Tina Riley","Billing Specialist, Billing Manager, SBMH Coordinator, Assistant Clinic Manager, Clinic Manager, PMHNP-BC, MSN, DNP, CPNP-AC, MA, MS, Psy.D, LP, LPCC, MSW, LICSW, LGSW, PhD, LAMFT, MPS, LADC, LMFT","Trauma-focused therapy, Anxiety, BPD, Eating Disorders",Unknown,Unknown,Not found,Not found,Natalis Psychology is a doctorate-led team of clinical psychologists and licensed therapists. They offer both in-person and telehealth services.,MN DHS + Website Enrichment
Northern Pines Mental Health Center Inc,Yes,No,"520 5th Street Northwest, Brainerd, MN, 56401",Brainerd,MN,56401,218-892-3235,http://www.npmh.org/,northern_pines_mental_health_center_inc.webp,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/riwTdJVPqwgGUYFp.webp,http://www.npmh.org/,https://npmh.org/about-us/staff/?staff_name&job_title&locale&program&category=Clinical%2BStaff,Not found,320-639-2025,Not found,"Outpatient Therapy, Dialectical Behavior Therapy (DBT), Family Therapy, Couples Therapy, Substance Use Recovery, Mental Health Urgent Care Clinic, Safe Harbor Crisis Residential, Assertive Community Treatment (ACT), Adult Rehabilitative Mental Health Services (ARMHS), Certified Peer Specialist Services (CPSS), Targeted Case Management (TCM), Mobile Crisis Outreach (MCO), IRMHS, In-Home Therapy & Skills, Children’s Targeted Case Management (TCM), School Based Therapy & Skills",Dialectical Behavior Therapy (DBT),All ages,Unknown,Yes,Yes,"CARLIE ROWE, RACHEL STICH, ARSHIA MUKADAM, SAMANTHA S, MELISSA WHITLOCK","Clinical Trainee, Intern I, Practitioner, APRN/RN, LADC, Therapist, Psychologist, Practitioner/Certified Peer Specialist",Substance Use Recovery,Unknown,Unknown,https://www.facebook.com/NorthernPinesMHC/,Not found,"Crisis Line: (218) 828-HELP (4357), Urgent Care Crisis Clinic: (218) 454-8001",MN DHS + Website Enrichment
Northern Pines Mental Health Center Inc,Yes,No,"1906 5th Avenue SE, Little Falls MN, 56345",Little Falls,MN,56345,320-639-2025,http://www.npmh.org/,northern_pines_mental_health_center_inc.webp,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/riwTdJVPqwgGUYFp.webp,http://www.npmh.org/,https://npmh.org/about-us/staff/?staff_name&job_title&locale&program&category=Clinical%2BStaff,Not found,320-639-2025,Not found,"Outpatient Therapy, Dialectical Behavior Therapy (DBT), Family Therapy, Couples Therapy, Substance Use Recovery, Mental Health Urgent Care Clinic, Safe Harbor Crisis Residential, Assertive Community Treatment (ACT), Adult Rehabilitative Mental Health Services (ARMHS), Certified Peer Specialist Services (CPSS), Targeted Case Management (TCM), Mobile Crisis Outreach (MCO), IRMHS, In-Home Therapy & Skills, Children’s Targeted Case Management (TCM), School Based Therapy & Skills",Dialectical Behavior Therapy (DBT),All ages,Unknown,Yes,Yes,"CARLIE ROWE, RACHEL STICH, ARSHIA MUKADAM, SAMANTHA S, MELISSA WHITLOCK","Clinical Trainee, Intern I, Practitioner, APRN/RN, LADC, Therapist, Psychologist, Practitioner/Certified Peer Specialist",Substance Use Recovery,Unknown,Unknown,https://www.facebook.com/NorthernPinesMHC/,Not found,"Crisis Line: (218) 828-HELP (4357), Urgent Care Crisis Clinic: (218) 454-8001",MN DHS + Website Enrichment
Northern Pines Mental Health Center Inc,Yes,No,"16 9th Ave SE, Long Prairie, MN, 56347",Long Prairie,MN,56347,320-639-2025,http://www.npmh.org/,northern_pines_mental_health_center_inc.webp,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/riwTdJVPqwgGUYFp.webp,http://www.npmh.org/,https://npmh.org/about-us/staff/?staff_name&job_title&locale&program&category=Clinical%2BStaff,Not found,320-639-2025,Not found,"Outpatient Therapy, Dialectical Behavior Therapy (DBT), Family Therapy, Couples Therapy, Substance Use Recovery, Mental Health Urgent Care Clinic, Safe Harbor Crisis Residential, Assertive Community Treatment (ACT), Adult Rehabilitative Mental Health Services (ARMHS), Certified Peer Specialist Services (CPSS), Targeted Case Management (TCM), Mobile Crisis Outreach (MCO), IRMHS, In-Home Therapy & Skills, Children’s Targeted Case Management (TCM), School Based Therapy & Skills",Dialectical Behavior Therapy (DBT),All ages,Unknown,Yes,Yes,"CARLIE ROWE, RACHEL STICH, ARSHIA MUKADAM, SAMANTHA S, MELISSA WHITLOCK","Clinical Trainee, Intern I, Practitioner, APRN/RN, LADC, Therapist, Psychologist, Practitioner/Certified Peer Specialist",Substance Use Recovery,Unknown,Unknown,https://www.facebook.com/NorthernPinesMHC/,Not found,"Crisis Line: (218) 828-HELP (4357), Urgent Care Crisis Clinic: (218) 454-8001",MN DHS + Website Enrichment
Northern Pines Mental Health Center Inc,Yes,No,"11 2nd St W, Wadena, MN, 56452",Wadena,MN,56452,320-639-2025,http://www.npmh.org/,northern_pines_mental_health_center_inc.webp,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/riwTdJVPqwgGUYFp.webp,http://www.npmh.org/,https://npmh.org/about-us/staff/?staff_name&job_title&locale&program&category=Clinical%2BStaff,Not found,320-639-2025,Not found,"Outpatient Therapy, Dialectical Behavior Therapy (DBT), Family Therapy, Couples Therapy, Substance Use Recovery, Mental Health Urgent Care Clinic, Safe Harbor Crisis Residential, Assertive Community Treatment (ACT), Adult Rehabilitative Mental Health Services (ARMHS), Certified Peer Specialist Services (CPSS), Targeted Case Management (TCM), Mobile Crisis Outreach (MCO), IRMHS, In-Home Therapy & Skills, Children’s Targeted Case Management (TCM), School Based Therapy & Skills",Dialectical Behavior Therapy (DBT),All ages,Unknown,Yes,Yes,"CARLIE ROWE, RACHEL STICH, ARSHIA MUKADAM, SAMANTHA S, MELISSA WHITLOCK","Clinical Trainee, Intern I, Practitioner, APRN/RN, LADC, Therapist, Psychologist, Practitioner/Certified Peer Specialist",Substance Use Recovery,Unknown,Unknown,https://www.facebook.com/NorthernPinesMHC/,Not found,"Crisis Line: (218) 828-HELP (4357), Urgent Care Crisis Clinic: (218) 454-8001",MN DHS + Website Enrichment
Northland Counseling Center - Grand Rapids,No,No,"215 SE 2nd Avenue, Grand Rapids, MN, 55744",Grand Rapids,MN,55744,218-326-1274,https://northlandcounseling.org/mental-health/dialectical-behavior-therapy/,northland_counseling_center_-_grand_rapids.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/nmJSyoBVTLNtRbtu.png,https://northlandcounseling.org/locations/,Not found,jalstad@northlandcounseling.org,218-326-1274,218-326-9787,"Individual Therapy, Telephone consultation, Skills Training Group, Consultation Group","Northland’s DBT Therapists have undergone intensive training and the DBT program is certified by the Minnesota Department of Human Services to provide DBT. DBT is based on a treatment model developed by Marsha Linehan, Ph.D. The objective of this approach is to help the client resolve crises by learning to regulate emotions and reactions, learn self-acceptance, and learn how to positively influence their environment.","Adults, Adolescents, Children",Yes - Medical Assistance,Yes,Yes,"Jennifer Alstad, Kerrie Humble, Alyson Lopez, Tammy Gradine","MS, Ed., LMFT, MSW, LICSW, MA, LPCC",Unknown,Yes,Unknown,https://www.facebook.com/NorthlandCounseling/,https://www.instagram.com/northlandcounseling/,None,MN DHS + Website Enrichment
Northland Counseling Center - International Falls,No,No,"900 5th Street, Suite 305, International Falls, MN, 56649",International Falls,MN,56649,218-283-3406,http://northlandcounselingifalls.org/,,,Not found,Not found,Not found,218-283-3406,Not found,"Assessment, Evaluations, Testing, Individual Therapy, Couples Therapy, Family Therapy, Group Therapy, Specialized services for individuals with serious and persistent mental health issues",Unknown,All ages,Unknown,Yes,Yes,Not found,Not found,Unknown,Unknown,Unknown,https://www.facebook.com/northlandcounselingifalls,Not found,"Northland Counseling Center in International Falls is in the process of building a new facility, expected to be completed in February of 2023.",MN DHS + Website Enrichment
Northland Counseling Center-Grand Rapids,No,No,"3130 SE 2nd Ave, Grand Rapids, MN, 55744",Grand Rapids,MN,55744,218-283-3406,http://northlandcounselingifalls.org/,,,Not found,Not found,Not found,218-283-3406,Not found,"Assessment, Evaluations, Testing, Individual Therapy, Couples Therapy, Family Therapy, Group Therapy, Specialized services for individuals with serious and persistent mental health issues",Unknown,All ages,Unknown,Yes,Yes,Not found,Not found,Unknown,Unknown,Unknown,https://www.facebook.com/northlandcounselingifalls,Not found,"Northland Counseling Center in International Falls is in the process of building a new facility, expected to be completed in February of 2023.",MN DHS + Website Enrichment
Northland Counseling Center _International Falls,No,No,"1902 Valley Pine Circle, International Falls, MN, 56649",International Falls,MN,56649,218-283-3406,http://northlandcounselingifalls.org/,,,Not found,Not found,Not found,218-283-3406,Not found,"Assessment, Evaluations, Testing, Individual Therapy, Couples Therapy, Family Therapy, Group Therapy, Specialized services for individuals with serious and persistent mental health issues",Unknown,All ages,Unknown,Yes,Yes,Not found,Not found,Unknown,Unknown,Unknown,https://www.facebook.com/northlandcounselingifalls,Not found,"Northland Counseling Center in International Falls is in the process of building a new facility, expected to be completed in February of 2023.",MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"1101 East 78th Street, Suite 100, Bloomington, MN, 55420",Bloomington,MN,55420,952-854-5034,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"11660 Round Lake Boulevard Northwest, Coon Rapids, MN,, 55433",Coon Rapids,MN,11660,763-767-3350,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"332 West Superior Street, Suite 300, Duluth, MN, 55802",Duluth,MN,55802,218-722-4379,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"11010 Prairie Lakes Drive, Suite 350, Eden Prairie, MN, 55344",Eden Prairie,MN,11010,952-746-2522,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"114 Main St N, Suite 201 B, Hutchinson, MN, 55350",Hutchinson,MN,55350,320-549-5968,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"17685 Juniper Path, Suite 303, Lakeville, MN, 55044",Lakeville,MN,17685,952-214-8959,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
